message_id,channel_name,image_path,detected_objects,image_category,object_count
26441,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26441.jpg,"bottle:0.34, bottle:0.33, bottle:0.31, bottle:0.31, orange:0.28",product_display,5
26442,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26442.jpg,"bottle:0.34, bottle:0.30",product_display,2
26443,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26443.jpg,"bottle:0.48, bottle:0.47, bottle:0.43, bottle:0.27",product_display,4
26444,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26444.jpg,"bottle:0.57, bottle:0.38, bottle:0.27, bottle:0.26, bottle:0.26",product_display,5
26445,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26445.jpg,none,other,0
26446,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26446.jpg,none,other,0
26447,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26447.jpg,bottle:0.74,product_display,1
26448,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26448.jpg,"bottle:0.47, book:0.26",product_display,2
26449,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26449.jpg,"person:0.68, stop sign:0.29",lifestyle,2
26450,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26450.jpg,none,other,0
26451,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26451.jpg,none,other,0
26452,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26452.jpg,cup:0.35,product_display,1
26453,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26453.jpg,bottle:0.81,product_display,1
26454,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26454.jpg,clock:0.27,product_display,1
26455,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26455.jpg,"fork:0.86, cup:0.49, knife:0.44",product_display,3
26456,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26456.jpg,bottle:0.43,product_display,1
26457,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26457.jpg,none,other,0
26458,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26458.jpg,none,other,0
26460,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26460.jpg,bottle:0.91,product_display,1
26461,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26461.jpg,bottle:0.90,product_display,1
26462,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26462.jpg,"bottle:0.67, vase:0.61",product_display,2
26463,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26463.jpg,"cup:0.72, cup:0.39, book:0.29",product_display,3
